full_address,median_price_per_sqm,mean_price_per_sqm,housing_type,latitude,longitude,planning_area,subzone
280 CHOA CHU KANG AVE 3,3912.923076923077,3923.228937728938,public,1.38098653958626,103.743144225093,CHOA CHU KANG,KEAT HONG
280 TAMPINES ST 22,4716.055341055341,4753.10231510998,public,1.34753519689194,103.951702776881,TAMPINES,TAMPINES EAST
280 TOH GUAN RD,5054.945054945055,5140.372046254399,public,1.34046486754645,103.747294159262,JURONG EAST,TOH GUAN
280 YISHUN ST 22,4333.333333333333,4240.386853886854,public,1.4385887342867,103.836954484546,YISHUN,NORTHLAND
280A SENGKANG EAST AVE,6071.428571428572,6369.1875,public,1.38616165479022,103.892278601256,SENGKANG,COMPASSVALE
280B SENGKANG EAST AVE,6106.366459627329,6287.695479641132,public,1.38616197671749,103.892091814343,SENGKANG,COMPASSVALE
281 BISHAN ST 24,5179.245283018868,5269.18849606155,public,1.35727709271493,103.844629114303,BISHAN,MARYMOUNT
281 BT BATOK EAST AVE 3,4623.870481927711,4623.870481927711,public,1.34749920722746,103.757617372041,BUKIT BATOK,BUKIT BATOK EAST
281 CHOA CHU KANG AVE 3,3968.251088534108,4077.2415336236095,public,1.38032442970476,103.74259978067,CHOA CHU KANG,KEAT HONG
281 TAMPINES ST 22,4404.761904761905,4540.177746631201,public,1.34717701419788,103.952587239176,TAMPINES,TAMPINES EAST
281 TOH GUAN RD,5371.900826446281,5404.269840874997,public,1.33989545035108,103.746414934077,JURONG EAST,TOH GUAN
281 YISHUN ST 22,4171.052631578948,4171.052631578948,public,1.43896457843625,103.837500561028,YISHUN,NORTHLAND
281A SENGKANG EAST AVE,6190.05515898767,6372.870028738296,public,1.38609224063789,103.891561108663,SENGKANG,COMPASSVALE
281B SENGKANG EAST AVE,6217.391304347826,6349.220801364025,public,1.38572826679961,103.891859601685,SENGKANG,COMPASSVALE
282 CHOA CHU KANG AVE 3,3751.617199391172,4004.800796583353,public,1.38025443409642,103.743214351168,CHOA CHU KANG,KEAT HONG
282 TAMPINES ST 22,4687.845257021728,4645.235648435969,public,1.34775409909298,103.952436774993,TAMPINES,TAMPINES EAST
282 TOH GUAN RD,5111.111111111111,5162.640319863203,public,1.3396058298969,103.747111253923,JURONG EAST,TOH GUAN
282 YISHUN AVE 6,4666.517857142857,4676.571428571428,public,1.43940871246049,103.838425107982,YISHUN,NORTHLAND
282A SENGKANG EAST AVE,6385.869565217392,6768.158514492753,public,1.38528977819863,103.891907359174,SENGKANG,COMPASSVALE
282B SENGKANG EAST AVE,6232.142857142857,6572.487216524628,public,1.38475821943149,103.891986745715,SENGKANG,COMPASSVALE
282C SENGKANG EAST AVE,6282.608695652174,6482.032843967626,public,1.38509615954884,103.892548305538,SENGKANG,COMPASSVALE
283 BT BATOK EAST AVE 3,4370.670180722891,4709.478677869372,public,1.34694365753899,103.757539380939,BUKIT BATOK,BUKIT BATOK EAST
283 CHOA CHU KANG AVE 3,4232.142857142857,4167.327360503574,public,1.37970871614932,103.742871205952,CHOA CHU KANG,KEAT HONG
283 TAMPINES ST 22,4343.676200472317,4510.724102979372,public,1.34862955734174,103.952853471968,TAMPINES,TAMPINES EAST
283 TOH GUAN RD,4834.249084249084,5042.943006813975,public,1.33908506817905,103.74705803294,JURONG EAST,TOH GUAN
283 YISHUN AVE 6,3763.513513513513,3853.294113252447,public,1.43949686296868,103.839281992379,YISHUN,NORTHLAND
284 CHOA CHU KANG AVE 3,3818.181818181818,4011.066973745304,public,1.37971380334915,103.742134226705,CHOA CHU KANG,KEAT HONG
284 TAMPINES ST 22,4837.858220211161,4908.423427480423,public,1.34910384523464,103.952628182938,TAMPINES,TAMPINES EAST
284 TOH GUAN RD,5328.65559283201,5323.406060878815,public,1.33948765295892,103.746226449075,JURONG EAST,TOH GUAN
284 YISHUN AVE 6,3990.3846153846152,3932.264455090542,public,1.43969859742694,103.838828469463,YISHUN,NORTHLAND
285 BISHAN ST 22,6254.62962962963,6373.811796456091,public,1.35884086169807,103.843854009321,BISHAN,MARYMOUNT
285 BT BATOK EAST AVE 3,4922.480620155039,4791.083497509913,public,1.34617496464412,103.757832392184,BUKIT BATOK,BUKIT BATOK EAST
285 CHOA CHU KANG AVE 3,4309.942307692308,4100.042490842491,public,1.3801186731267,103.741879942671,CHOA CHU KANG,KEAT HONG
285 TAMPINES ST 22,4708.73786407767,4795.606455084861,public,1.35001074194263,103.952816059954,TAMPINES,TAMPINES EAST
285 YISHUN AVE 6,5179.6875,5179.6875,public,1.43993982621554,103.839382313028,YISHUN,NORTHLAND
285A TOH GUAN RD,5489.51048951049,5616.6718992119,public,1.33853822943852,103.746223402195,JURONG EAST,TOH GUAN
285B TOH GUAN RD,5000.0,5138.390722098686,public,1.33842394940897,103.746854853224,JURONG EAST,TOH GUAN
285C TOH GUAN RD,6103.448275862069,6186.43146913938,public,1.33788840375922,103.746604060748,JURONG EAST,TOH GUAN
285D TOH GUAN RD,5671.428571428572,5622.688470892696,public,1.33789020611793,103.746039348397,JURONG EAST,TOH GUAN
286 BISHAN ST 24,6296.296296296296,6465.0209246095,public,1.3584375788776,103.843886325616,BISHAN,MARYMOUNT
286 BT BATOK EAST AVE 3,4826.947937477964,4859.795613550301,public,1.34674707293093,103.758438601357,BUKIT BATOK,BUKIT BATOK EAST
286 CHOA CHU KANG AVE 3,4446.050928056451,4054.4997196108898,public,1.37961045064346,103.741530726305,CHOA CHU KANG,KEAT HONG
286 TAMPINES ST 22,4301.58523908524,4555.541435312964,public,1.34953667920762,103.952988196976,TAMPINES,TAMPINES EAST
286 YISHUN AVE 6,3936.686686686687,4051.584684501351,public,1.44003806856754,103.83874448007,YISHUN,NORTHLAND
286A COMPASSVALE CRES,5911.504424778761,6009.407809179433,public,1.39735577803331,103.896193260958,SENGKANG,SENGKANG TOWN CENTRE
286A TOH GUAN RD,5256.09756097561,5257.63835206658,public,1.33866294623076,103.745669515937,JURONG EAST,TOH GUAN
286B COMPASSVALE CRES,5911.504424778761,6055.152238252438,public,1.39755063670988,103.895593236308,SENGKANG,SENGKANG TOWN CENTRE
286B TOH GUAN RD,5659.722222222223,5874.721840090692,public,1.33857782933995,103.745137980175,JURONG EAST,TOH GUAN
286C COMPASSVALE CRES,6182.795698924731,6196.197975964579,public,1.39811786720081,103.896423686037,SENGKANG,SENGKANG TOWN CENTRE
286C TOH GUAN RD,5832.142857142857,5838.699309908597,public,1.33894552718533,103.744452232566,JURONG EAST,TOH GUAN
286D TOH GUAN RD,5243.90243902439,5399.433991482772,public,1.33962601054461,103.744468840165,JURONG EAST,TOH GUAN
287 BISHAN ST 24,5130.698104484512,5211.744965959647,public,1.35773053802359,103.843785453611,BISHAN,MARYMOUNT
287 BT BATOK EAST AVE 3,4897.959183673469,4840.875254543084,public,1.34713763194145,103.758527151736,BUKIT BATOK,BUKIT BATOK EAST
287 CHOA CHU KANG AVE 2,4266.739726027397,4414.176589981683,public,1.37893095463901,103.741564347018,CHOA CHU KANG,KEAT HONG
