project_name,full_address,median_price_per_sqm,mean_price_per_sqm,housing_type,longitude,latitude,planning_area,subzone
LANDED HOUSING DEVELOPMENT in SENNETT CLOSE,3 SENNETT CLOSE SINGAPORE 466997,14682.205166763422,14682.205166763422,private,103.93923015350354,1.3162599677961209,BEDOK,BEDOK SOUTH
LANDED HOUSING DEVELOPMENT in PAYA LEBAR CRESCENT,102 PAYA LEBAR CRESCENT SINGAPORE 536185,11065.877128053293,12227.708006978482,private,103.88242091886592,1.3475665563381498,HOUGANG,TAI SENG
MARINE BLUE,91 MARINE PARADE ROAD MARINE BLUE SINGAPORE 449314,23135.593220338986,21341.853219904344,private,103.90487712260254,1.3040555987816933,MARINE PARADE,MARINE PARADE
SILAHIS APARTMENTS,121 LORONG K TELOK KURAU SILAHIS APARTMENTS SINGAPORE 425762,11092.436974789916,12443.432035451408,private,103.91426084332852,1.3138925079332926,BEDOK,FRANKEL
LANDED HOUSING DEVELOPMENT in JALAN HOCK CHYE,31E JALAN HOCK CHYE SINGAPORE 538250,14012.38041643219,15370.263224680526,private,103.89071124129204,1.359038089362706,HOUGANG,LORONG AH SOO
LANDED HOUSING DEVELOPMENT in THIRD STREET,THIRD STREET,18360.706538580725,17311.726380708416,private,103.92462714559014,1.3136313541852884,BEDOK,FRANKEL
LANDED HOUSING DEVELOPMENT in BRANKSOME ROAD,BRANKSOME ROAD,20105.47132498352,20091.477649014967,private,103.89174314447256,1.3039391529461355,MARINE PARADE,MOUNTBATTEN
TELOK KURAU RIA,52 LORONG L TELOK KURAU TELOK KURAU RIA SINGAPORE 425498,10526.315789473683,10526.315789473683,private,103.90985136533747,1.3112810554459953,BEDOK,FRANKEL
SERENITY BREEZE,98 LORONG J TELOK KURAU SERENITY BREEZE SINGAPORE 425927,10483.870967741936,10483.870967741936,private,103.91220370576326,1.3136018755141916,BEDOK,FRANKEL
LANDED HOUSING DEVELOPMENT in THAM SOONG AVENUE,41 THAM SOONG AVENUE SINGAPORE 597053,19256.64312142617,19662.444228488497,private,103.77368591009234,1.34447537116776,BUKIT TIMAH,ANAK BUKIT
MARINE VIEW MANSIONS,97 MARINE PARADE MARINE VIEW MANSIONS SINGAPORE 449273,18407.96019900497,18398.44318541446,private,103.90546598293574,1.3037809737147672,MARINE PARADE,MARINE PARADE
LANDED HOUSING DEVELOPMENT in HAI SING ROAD,34 HAI SING ROAD HAI SING PARK SINGAPORE 538929,12624.006964945074,12855.213200975277,private,103.8926273819311,1.365009013380542,HOUGANG,KANGKAR
THE MORRIS RESIDENCES,63 PAYA LEBAR CRESCENT THE MORRIS RESIDENCES SINGAPORE 536139,8947.841213711286,8872.700632311273,private,103.88389306047372,1.3490935485198086,HOUGANG,TAI SENG
LANDED HOUSING DEVELOPMENT in JALAN LYE KWEE,13 JALAN LYE KWEE SINGAPORE 537838,12994.83360171766,13028.662850141189,private,103.8983223616468,1.3710245357686657,HOUGANG,KANGKAR
CHARISMA VIEW,167 JALAN JURONG KECHIL CHARISMA VIEW SINGAPORE 598671,14098.360655737704,14344.924656400068,private,103.76839504563397,1.344403193310186,BUKIT TIMAH,ANAK BUKIT
TAI KENG VILLAS,81 JALAN KELICHAP TAI KENG VILLAS SINGAPORE 538191,13378.67154174284,13873.532174709577,private,103.88169246890848,1.347074114253115,HOUGANG,TAI SENG
SANCTUARY GREEN,191 TANJONG RHU ROAD SANCTUARY GREEN SINGAPORE 436927,15400.641025641024,15499.663555324632,private,103.8714050333416,1.2967497419633405,KALLANG,TANJONG RHU
LANDED HOUSING DEVELOPMENT in TEMBELING ROAD,246 TEMBELING ROAD TEMBELING RESIDENCE SINGAPORE 423725,20182.78750952018,20384.87858629201,private,103.90531472799248,1.3071681656625251,MARINE PARADE,KATONG
PRIMO RESIDENCES,TANJONG TREE RESIDENCES @ HOUGANG,13622.727272727272,13678.79345860802,private,103.88862359187851,1.3558505831519214,HOUGANG,LORONG AH SOO
THE AMBROSIA,108 LORONG N TELOK KURAU THE AMBROSIA SINGAPORE 425262,15849.056603773584,15303.22888407902,private,103.9169141205548,1.310318403978904,BEDOK,FRANKEL
LANDED HOUSING DEVELOPMENT in SIMON WALK,SIMON WALK,19409.67727833437,21443.30719629949,private,103.88479686967958,1.3620952967274584,HOUGANG,KOVAN
LANDED HOUSING DEVELOPMENT in LANGSAT ROAD,80 LANGSAT ROAD SINGAPORE 426742,19143.117593436644,19333.03304229064,private,103.90315400442948,1.3156856597162343,GEYLANG,GEYLANG EAST
LANDED HOUSING DEVELOPMENT in SENNETT LANE,1C SENNETT LANE SINGAPORE 466963,16383.112791430372,16161.724795239264,private,103.93802227684571,1.3176960317204047,BEDOK,BEDOK SOUTH
LANDED HOUSING DEVELOPMENT in RAMSGATE ROAD,20 RAMSGATE ROAD SINGAPORE 437466,20468.08153678383,20882.792339577143,private,103.89059842712012,1.2981329504863894,MARINE PARADE,MOUNTBATTEN
