project_name,full_address,median_price_per_sqm,mean_price_per_sqm,housing_type,latitude,longitude
LANDED HOUSING DEVELOPMENT in DEDAP ROAD,DEDAP ROAD,10798.745156776295,10798.745156776295,private,103.86573079132874,1.3879138425530717
LANDED HOUSING DEVELOPMENT in CHESTNUT LANE,10 CHESTNUT LANE SINGAPORE 679183,22461.53846153846,22461.53846153846,private,103.76809089331465,1.3668844214424445
SARACA GARDENS,55 SARACA VIEW SARACA GARDENS SINGAPORE 807321,13413.173652694612,12967.816397865412,private,103.8588275042592,1.3870449654660628
LANDED HOUSING DEVELOPMENT in LILAC ROAD,2 LILAC ROAD LILAC PARK SINGAPORE 808177,11196.4416,11196.4416,private,103.86148051334759,1.3824858853389013
CASPIAN,60 LAKESIDE DRIVE CASPIAN SINGAPORE 648320,13241.84846352334,13399.314913613453,private,103.71860198903191,1.3428024873151052
PARC CANBERRA,7 CANBERRA WALK PARC CANBERRA SINGAPORE 757066,11881.720430107527,11877.262782426367,private,103.82838783217508,1.4469923338185036
FANTA GARDEN,6 BEGONIA DRIVE FANTA GARDEN SINGAPORE 809848,14407.684098185699,15234.185989323101,private,103.86437650585687,1.3877854397569702
SUNRISE VILLA,19 SUNRISE CLOSE SUNRISE VILLA SINGAPORE 806616,15296.803652968038,16318.061896840869,private,103.85645668469215,1.3862960359225127
FUDU PARK,25 FUDU PARK FUDU PARK SINGAPORE 789559,15368.421052631578,14873.456499915386,private,103.83796233900573,1.3891787453527844
CENTURY MANSIONS,2M JALAN REMAJA CENTURY MANSIONS SINGAPORE 668671,13170.212765957447,12676.025575840094,private,103.76208806304727,1.3573895142027859
RAINTREE VALLEY,6 MUNSHI ABDULLAH WALK RAINTREE VALLEY SINGAPORE 788586,14474.5122718691,14474.5122718691,private,103.83121943174788,1.3828791044121602
SEASONS PARK,499 YIO CHU KANG ROAD SEASONS PARK SINGAPORE 787082,10775.862068965518,11029.768218633732,private,103.83926218690694,1.3851278501653022
