full_address,median_price_per_sqm,mean_price_per_sqm,housing_type,latitude,longitude
966 JURONG WEST ST 93,4301.769911504425,4092.315773362275,public,1.34170245953319,103.692916978764
967 HOUGANG AVE 9,4416.058394160584,4637.99398883641,public,1.37818307588971,103.878641442114
968 HOUGANG AVE 9,4232.711111111112,4499.082354823228,public,1.37871324287176,103.878523628473
969 HOUGANG ST 91,4444.444444444444,4587.469706073338,public,1.37875948902978,103.879496357849
96A HENDERSON RD,11398.230088495575,11234.734647445459,public,1.28798878836651,103.821947260359
96B HENDERSON RD,10147.058823529413,10432.361355061523,public,1.288056640159,103.821285332505
97 ALJUNIED CRES,4500.0,4774.460026990553,public,1.32129673439631,103.88566797128
97 BEDOK NTH AVE 4,4390.243902439024,4440.732991014121,public,1.33296577436017,103.939962571035
97 C'WEALTH CRES,4966.1016949152545,4920.3933589303015,public,1.30616047214581,103.801495664171
97 GEYLANG BAHRU,5380.434782608696,5438.540494458653,public,1.32374860212507,103.870243903519
97 JLN DUA,5535.714285714285,5573.011196350819,public,1.30894624898234,103.888388917364
97 LOR 3 TOA PAYOH,6959.349593495935,7010.011584973528,public,1.33862553964099,103.847769284458
97 WHAMPOA DR,4641.142191142191,4628.366355866357,public,1.32127149096515,103.854947816248
970 HOUGANG ST 91,4516.666666666666,4452.468609588232,public,1.37879979496564,103.880363800119
971 HOUGANG ST 91,4807.721739130435,4633.944591989719,public,1.37822993629766,103.879696313869
972 HOUGANG ST 91,4645.985401459854,4752.995944849959,public,1.37822040565811,103.879420458522
973 HOUGANG ST 91,4869.565217391304,4688.971725901755,public,1.37780580313399,103.87971952242
974 HOUGANG ST 91,4525.5474452554745,4852.932360097324,public,1.37778904648265,103.879444501418
974 JURONG WEST ST 93,4445.2054794520545,4178.739726027397,public,1.33964717776069,103.693272142015
975 HOUGANG ST 91,4598.540145985401,4742.9566909975665,public,1.37715967450289,103.879679968404
